               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.024432,            0.017094,            0.019542,             0.71218,             0.93382,             0.91721,             0.69442,           0.0049262,           0.0069626,           0.0010032,            0.008731,            0.008731,            0.008731
                 143,            0.024658,            0.016728,             0.01971,             0.72073,             0.94058,             0.91906,             0.71472,           0.0048471,           0.0062349,          0.00092608,            0.008722,            0.008722,            0.008722
                 144,            0.024326,            0.017149,            0.018658,             0.75216,             0.93148,             0.93313,             0.65887,           0.0048661,            0.007272,          0.00083955,            0.008713,            0.008713,            0.008713
                 145,             0.02457,            0.017266,            0.019113,             0.75902,             0.92373,             0.92837,             0.66237,           0.0051528,           0.0072261,          0.00083844,            0.008704,            0.008704,            0.008704
                 146,             0.02468,            0.016767,            0.018708,             0.76225,             0.88357,             0.92914,             0.71979,           0.0051343,           0.0066513,           0.0010082,            0.008695,            0.008695,            0.008695
                 147,            0.024094,            0.017034,            0.019952,             0.78284,             0.92437,              0.9432,             0.71374,           0.0048018,           0.0058581,          0.00082849,            0.008686,            0.008686,            0.008686
                 148,            0.024076,            0.016954,             0.01834,              0.8312,             0.91238,              0.9568,             0.76005,            0.004322,           0.0059353,          0.00074457,            0.008677,            0.008677,            0.008677
                 149,            0.024175,            0.017124,            0.017876,             0.76502,             0.89667,              0.9327,             0.67057,           0.0049688,           0.0072613,          0.00088818,            0.008668,            0.008668,            0.008668
                 150,            0.024178,            0.016854,            0.018252,             0.73175,             0.89453,             0.92474,             0.69697,           0.0044974,           0.0067379,          0.00078402,            0.008659,            0.008659,            0.008659
                 151,            0.023752,            0.016553,            0.018847,             0.83381,             0.90141,             0.95408,             0.73531,           0.0046838,           0.0061677,          0.00080472,             0.00865,             0.00865,             0.00865
                 152,            0.024305,            0.016826,            0.019435,             0.77707,               0.909,             0.94261,             0.75566,           0.0045064,           0.0061369,          0.00087048,            0.008641,            0.008641,            0.008641
                 153,            0.024364,            0.016965,            0.018299,             0.76809,             0.94222,             0.93734,             0.74299,           0.0044891,           0.0059231,          0.00074034,            0.008632,            0.008632,            0.008632
                 154,            0.024498,             0.01702,            0.018829,              0.7907,             0.90119,             0.94489,             0.74254,           0.0045502,           0.0060189,          0.00077851,            0.008623,            0.008623,            0.008623
                 155,            0.023985,            0.016872,            0.018561,             0.78219,             0.93257,             0.94289,             0.69079,           0.0051395,           0.0070197,          0.00073133,            0.008614,            0.008614,            0.008614
                 156,            0.023932,            0.016877,            0.017995,             0.77069,             0.92062,              0.9437,             0.70958,           0.0044231,           0.0070199,          0.00064325,            0.008605,            0.008605,            0.008605
                 157,            0.023658,            0.016776,            0.018809,             0.77723,             0.90252,             0.94139,             0.69205,           0.0046192,           0.0069022,          0.00065072,            0.008596,            0.008596,            0.008596
                 158,            0.023854,            0.016545,            0.018911,             0.72568,             0.93637,             0.92261,               0.698,           0.0046063,           0.0066808,          0.00066344,            0.008587,            0.008587,            0.008587
                 159,            0.023615,            0.016217,            0.017704,              0.7291,             0.93873,             0.92784,             0.70787,           0.0044523,           0.0067277,          0.00059462,            0.008578,            0.008578,            0.008578
